segment_id,pred,target
1969647810,29811058.97785258,32739612
288840453,36632243.30653874,34952168
995888455,3553251.3002249603,529841
874143536,1650361.6864032003,925464
139656908,34039429.44767771,46573581
859183068,8635359.761419665,10412406
511978994,27466700.773196433,25418076
1826631403,4354553.723992082,1846267
1087653736,14521427.040368183,15126522
1537766774,33969031.27649499,41038586
1090755834,6566797.536807182,7412828
1663507226,37811767.61238558,40819831
1804779174,27943671.1192066,25240759
672285731,30166202.260309868,29786268
742086401,40543332.43924681,40875911
1655117264,14214690.039688164,17587182
986058423,6825292.612788065,5930797
1358458285,18142869.607697163,17690649
82371649,3237352.655249788,273119
1990660302,2069963.6064784292,2100262
2041042967,39685778.27505003,38302199
357626827,20357311.105327465,25337458
148601568,4323738.566299144,3546541
1972765916,2548445.248201068,5452143
1413419956,21220151.384250764,14812529
802939805,31034272.69240006,33743320
1726437005,21759442.15551978,21379271
1816226657,33814921.06099495,39962047
1070821612,28469200.899239443,29318853
922683102,20498224.380275942,6996188
1964629036,17358516.378890693,13711404
719416315,5907289.251434511,5612613
176793362,35731783.2872657,40165333
1751225823,29546446.350170776,29457928
559180520,29872246.075462725,30130135
318487088,9733055.377218887,8336642
978341311,37553426.3215937,36048263
147205244,16999182.104697153,15559380
1833020166,40686880.002549715,41925615
730012471,27396840.78292636,27742695
1156048155,29441267.394657835,31574789
2133970291,12680730.630423233,11414233
80983984,32395778.615291193,34598467
827663810,22985309.326676942,18946673
1904644745,11702078.741122855,6648378
100519902,5053213.719581673,4357018
939311744,16077357.604193935,13622266
1375203977,30909193.360649012,30132470
1731539296,36069564.28494912,37152618
556944814,29429068.224338345,30540612
180412483,39728849.07969191,41331696
1040427269,18744211.788446102,20682439
1832562741,38124688.64987024,41262439
1812302207,34913676.18903544,38421788
326818048,5246587.361938057,5288221
544830679,20431149.19272118,19863157
276179308,22963687.30311426,23514771
238539977,31073752.923694804,32000841
1631336027,12248158.235452466,14051809
1583418568,15810490.597939746,18740213
1945020467,23161309.129871376,25622349
15038768,42127312.16693251,43575632
2010479566,13026190.353191752,11919352
1831534866,18770084.68521169,18170380
2101664526,15564209.201400429,16882521
1976957121,43072034.98795656,43740620
672998055,14368451.231582552,19024764
1371124950,20608221.015075188,19171622
1629550343,28206292.995970003,23298595
147392583,37548929.1429505,35627380
628631743,11417653.969936375,12176811
72574795,14806970.467393782,20862337
2052803958,18341694.09572714,17383128
1438275988,3240296.4660458504,2167660
995669347,47913635.88170864,47715187
1155734430,2184381.413941852,3290204
521769547,40057101.64900095,36023711
946628340,44566884.73720034,46927271
507197174,1601089.9382426208,2568794
1182581931,38667588.549840435,38327442
1284309765,19580788.031723298,18814834
596775154,39286361.61624306,37647012
185475086,7898837.519305592,7267557
1036403851,7224942.630594213,4719062
1814978741,7212718.39109619,7954212
1376247982,25065272.47368468,16912715
192886119,2569102.491965761,1751151
1851830642,38826551.370338745,36827935
1995318007,13884415.015477872,15117628
1839914690,43705878.17420199,43212742
1345892489,43137001.22006079,44789145
174681942,16157308.88319497,7163152
678646361,7370552.26582528,6350450
772542617,1505246.2275313425,1337830
1182918404,38184779.91564836,38960058
947090403,15947645.557450607,15365285
984154541,6213949.065386474,5326048
1031775369,40295818.075396426,37403436
60701054,21927886.10429952,22509097
807148290,6338316.453310253,720761
1318204178,28855177.92626575,7490208
397127294,30575158.79232879,27470788
1265017674,41325995.632315464,42044275
928713250,12954385.761845354,11941339
1003175827,20440737.461070888,21994554
1191350506,7200862.621606642,5020088
1358944219,26473336.981167745,25695460
1577367680,37271023.747712374,36115175
762505241,40107040.24217714,43106846
736964441,13007383.25242597,13237465
1842353536,7228635.710856287,7488081
546241772,2460158.5356641742,386910
280847504,18252530.89828685,19947406
685963584,41792402.66507743,42641672
1818420386,34752134.40250227,33353623
271413633,30292866.70519591,29462986
1557776093,8297421.391378142,8076591
1844835543,35220766.078566566,39203881
1666037045,1834800.0903247509,1028570
343945736,6942105.882416962,8436689
2039942615,8431170.645706492,7746872
89160029,16871472.203006055,12006994
626322376,5577895.5620746,5127604
641168964,29274171.662505705,28464661
231298651,29592399.909942523,27369423
964004526,38806940.7371491,41206950
909369717,30507786.009008702,30779054
587453041,41424631.41262489,39932891
930971928,8547842.518467758,9009433
2078096366,8628268.622517312,8991164
1120445474,12269891.93653145,10175117
963569136,30664026.466982313,27930865
498590214,35411217.07601547,32154606
1305823886,21210050.877921958,25383127
389189559,6458544.245181858,1520211
477007410,41321539.25060626,43486713
1664535047,15580607.390076851,22578907
475130215,19718462.401801556,19971933
289916724,42976587.16791804,43594390
442489148,41747896.27817596,43353242
1980120300,18641219.325537354,17577204
160311230,18724146.127810296,15546942
912534056,2246189.5052360124,321111
1839787224,29788912.31373385,29619667
1566373795,41747490.136804916,44640112
976707361,41660331.90116447,40389139
1064935255,48065441.263977624,47950543
962787425,15650524.758602709,12868706
875430665,40149877.6775678,43272528
2051380720,39451991.65909145,39378933
1944553326,43545460.032982446,45521511
1018435910,18683594.165065646,17275464
1986279721,22774906.361831583,23891482
