sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
220.0,339.0,-336.0,364.0,,492.0,-796.0,-423.0,-582.0,-40.0
178.0,221.0,-317.0,366.0,,525.0,-754.0,-415.0,-932.0,-305.0
151.0,42.0,-280.0,250.0,,463.0,-772.0,-229.0,-257.0,-59.0
162.0,-123.0,-243.0,288.0,,303.0,-899.0,212.0,-295.0,38.0
158.0,-287.0,-300.0,372.0,,169.0,-769.0,755.0,169.0,-239.0
136.0,-302.0,-308.0,242.0,,241.0,-510.0,888.0,282.0,-293.0
124.0,-131.0,-292.0,132.0,,234.0,-494.0,970.0,-326.0,-203.0
127.0,133.0,-208.0,14.0,,134.0,-748.0,700.0,237.0,-278.0
142.0,374.0,-81.0,-177.0,,-200.0,-678.0,402.0,664.0,-460.0
135.0,538.0,52.0,-113.0,,-440.0,-711.0,35.0,877.0,-452.0
140.0,684.0,92.0,-22.0,,-559.0,-871.0,-339.0,270.0,-584.0
144.0,736.0,28.0,76.0,,-259.0,-879.0,-336.0,-36.0,-691.0
167.0,723.0,-69.0,118.0,,-131.0,-1076.0,-295.0,670.0,-854.0
156.0,720.0,-171.0,164.0,,-276.0,-1235.0,-48.0,781.0,-839.0
140.0,698.0,-231.0,331.0,,-237.0,-1348.0,46.0,410.0,-666.0
147.0,681.0,-273.0,304.0,,-479.0,-1305.0,234.0,29.0,-995.0
146.0,640.0,-302.0,239.0,,-546.0,-1283.0,378.0,262.0,-964.0
148.0,546.0,-355.0,32.0,,-736.0,-1238.0,306.0,-179.0,-710.0
154.0,468.0,-415.0,-138.0,,-686.0,-964.0,509.0,-277.0,-792.0
209.0,359.0,-447.0,-211.0,,-321.0,-905.0,484.0,564.0,-902.0
234.0,251.0,-414.0,-266.0,,-321.0,-1053.0,454.0,-201.0,-708.0
290.0,227.0,-332.0,-285.0,,-141.0,-987.0,251.0,-515.0,-554.0
327.0,206.0,-113.0,-274.0,,0.0,-605.0,57.0,-129.0,-690.0
380.0,195.0,136.0,7.0,,142.0,-320.0,35.0,209.0,-530.0
456.0,147.0,294.0,243.0,,369.0,-183.0,-36.0,703.0,-372.0
463.0,65.0,424.0,294.0,,505.0,-180.0,384.0,-51.0,-454.0
484.0,-38.0,411.0,288.0,,756.0,-167.0,667.0,-247.0,-425.0
479.0,-182.0,315.0,326.0,,876.0,-70.0,979.0,52.0,-358.0
487.0,-282.0,212.0,516.0,,1016.0,-129.0,1300.0,467.0,-577.0
468.0,-380.0,78.0,571.0,,1131.0,-214.0,1372.0,706.0,-820.0
446.0,-430.0,-40.0,445.0,,1141.0,-395.0,1563.0,139.0,-744.0
456.0,-428.0,-174.0,545.0,,1059.0,-546.0,1480.0,-150.0,-549.0
475.0,-408.0,-342.0,704.0,,678.0,-559.0,1302.0,3.0,-623.0
492.0,-319.0,-500.0,658.0,,653.0,-733.0,848.0,531.0,-804.0
489.0,-211.0,-615.0,555.0,,697.0,-1047.0,480.0,272.0,-757.0
495.0,-40.0,-676.0,380.0,,411.0,-1058.0,352.0,-363.0,-602.0
492.0,115.0,-629.0,268.0,,205.0,-783.0,149.0,-653.0,-606.0
497.0,240.0,-468.0,308.0,,-18.0,-534.0,158.0,-450.0,-857.0
472.0,416.0,-304.0,335.0,,-71.0,-624.0,110.0,-380.0,-876.0
432.0,560.0,-102.0,302.0,,-131.0,-763.0,310.0,-418.0,-927.0
377.0,646.0,151.0,291.0,,-97.0,-448.0,478.0,-336.0,-878.0
290.0,592.0,354.0,397.0,,16.0,-335.0,657.0,-743.0,-554.0
217.0,363.0,473.0,552.0,,-160.0,-266.0,951.0,-838.0,-481.0
145.0,55.0,531.0,459.0,,-210.0,-28.0,958.0,-655.0,-456.0
76.0,-255.0,504.0,215.0,,-93.0,-62.0,1173.0,60.0,-460.0
40.0,-439.0,406.0,191.0,,95.0,-370.0,1112.0,-183.0,-94.0
9.0,-405.0,324.0,321.0,,224.0,-433.0,875.0,-607.0,238.0
3.0,-205.0,203.0,375.0,,556.0,112.0,696.0,7.0,144.0
10.0,66.0,116.0,439.0,,866.0,288.0,447.0,570.0,123.0
10.0,360.0,47.0,547.0,,850.0,-21.0,365.0,995.0,96.0
36.0,578.0,-41.0,568.0,,992.0,-295.0,201.0,440.0,187.0
42.0,731.0,-81.0,526.0,,756.0,-325.0,254.0,189.0,187.0
47.0,819.0,-97.0,574.0,,707.0,-127.0,280.0,283.0,-44.0
58.0,770.0,-111.0,586.0,,976.0,-144.0,271.0,1054.0,-284.0
88.0,633.0,-82.0,207.0,,963.0,-342.0,378.0,1256.0,-173.0
111.0,427.0,12.0,-31.0,,1145.0,-576.0,402.0,-36.0,29.0
123.0,217.0,94.0,3.0,,1021.0,-586.0,639.0,-109.0,-85.0
133.0,-11.0,200.0,-111.0,,961.0,-363.0,899.0,-229.0,-233.0
137.0,-242.0,281.0,-56.0,,1172.0,-380.0,1143.0,189.0,-345.0
173.0,-403.0,364.0,131.0,,1307.0,-726.0,1086.0,292.0,-248.0
196.0,-505.0,431.0,282.0,,1497.0,-837.0,794.0,-710.0,-22.0
210.0,-529.0,474.0,352.0,,1352.0,-736.0,546.0,-649.0,2.0
211.0,-468.0,523.0,399.0,,1227.0,-810.0,249.0,-813.0,-160.0
228.0,-356.0,513.0,457.0,,1393.0,-800.0,358.0,127.0,-133.0
238.0,-266.0,477.0,485.0,,1527.0,-630.0,550.0,496.0,65.0
234.0,-156.0,371.0,593.0,,1208.0,-464.0,861.0,-790.0,94.0
211.0,-38.0,261.0,565.0,,918.0,-380.0,1156.0,-546.0,-93.0
188.0,83.0,132.0,401.0,,1074.0,-48.0,1042.0,-61.0,-320.0
181.0,186.0,73.0,195.0,,911.0,449.0,896.0,443.0,-350.0
151.0,171.0,81.0,86.0,,705.0,514.0,600.0,253.0,-160.0
134.0,160.0,89.0,100.0,,714.0,341.0,376.0,-172.0,-101.0
117.0,201.0,152.0,29.0,,634.0,383.0,94.0,49.0,-392.0
151.0,206.0,143.0,83.0,,692.0,430.0,-144.0,-228.0,-517.0
140.0,287.0,116.0,153.0,,583.0,370.0,-203.0,550.0,-490.0
130.0,500.0,72.0,32.0,,339.0,312.0,-173.0,561.0,-527.0
152.0,635.0,12.0,-48.0,,338.0,105.0,59.0,-328.0,-600.0
117.0,738.0,-57.0,-51.0,,400.0,25.0,35.0,-458.0,-759.0
103.0,776.0,-132.0,45.0,,592.0,-55.0,107.0,-197.0,-777.0
82.0,613.0,-143.0,268.0,,639.0,-325.0,24.0,403.0,-656.0
65.0,348.0,-195.0,362.0,,452.0,-568.0,-142.0,-188.0,-399.0
32.0,65.0,-256.0,354.0,,438.0,-640.0,-158.0,-186.0,-291.0
-6.0,-227.0,-230.0,371.0,,614.0,-356.0,-356.0,255.0,-507.0
-36.0,-579.0,-224.0,303.0,,717.0,-236.0,-330.0,193.0,-367.0
-52.0,-824.0,-210.0,215.0,,757.0,-465.0,-271.0,988.0,-89.0
-52.0,-897.0,-131.0,211.0,,757.0,-556.0,-59.0,802.0,-194.0
-54.0,-812.0,-77.0,190.0,,569.0,-436.0,70.0,310.0,-256.0
-50.0,-607.0,-37.0,16.0,,759.0,-306.0,123.0,456.0,-286.0
-44.0,-398.0,-44.0,-252.0,,1172.0,-308.0,369.0,667.0,-310.0
3.0,-73.0,-36.0,-336.0,,1393.0,-335.0,301.0,1089.0,-277.0
51.0,275.0,-18.0,-261.0,,1465.0,-183.0,271.0,645.0,-254.0
70.0,448.0,-45.0,-422.0,,1270.0,-69.0,234.0,22.0,-283.0
108.0,510.0,-16.0,-608.0,,897.0,-8.0,171.0,54.0,-397.0
177.0,527.0,-27.0,-608.0,,679.0,-4.0,199.0,401.0,-310.0
208.0,484.0,-46.0,-546.0,,808.0,-125.0,138.0,746.0,-215.0
206.0,355.0,-32.0,-332.0,,800.0,-106.0,266.0,485.0,-340.0
210.0,178.0,16.0,7.0,,701.0,-165.0,378.0,93.0,-509.0
218.0,54.0,111.0,262.0,,477.0,-239.0,528.0,221.0,-440.0
220.0,-135.0,224.0,383.0,,416.0,-278.0,428.0,626.0,-265.0
219.0,-337.0,347.0,546.0,,654.0,-304.0,131.0,724.0,-229.0
204.0,-370.0,414.0,612.0,,722.0,-355.0,35.0,510.0,-251.0
175.0,-386.0,451.0,570.0,,705.0,-598.0,-201.0,-68.0,-188.0
166.0,-378.0,428.0,579.0,,536.0,-531.0,-325.0,-417.0,-14.0
171.0,-313.0,393.0,574.0,,692.0,-290.0,-539.0,453.0,-6.0
194.0,-246.0,373.0,556.0,,991.0,-487.0,-594.0,524.0,-109.0
188.0,-144.0,331.0,480.0,,1125.0,-919.0,-482.0,-313.0,-120.0
216.0,2.0,258.0,237.0,,1095.0,-752.0,-495.0,-309.0,-104.0
256.0,201.0,204.0,-3.0,,974.0,-407.0,-358.0,-72.0,-159.0
274.0,315.0,187.0,-42.0,,892.0,-634.0,-478.0,-16.0,-146.0
281.0,330.0,153.0,58.0,,575.0,-707.0,-434.0,-320.0,-292.0
286.0,244.0,198.0,152.0,,522.0,-465.0,-356.0,13.0,-513.0
