segment_id,time_to_eruption
1000213997,28197920.53
100023368,39701014.65
1000488999,21969887.8
1001028887,18609659.12
1001857862,15573046.49
1003310246,31952510.36
1003545497,33213759.02
1004288653,19007759.71
10044968,2952572.93
1005166812,28665026.1
1005502784,36229537.48
1005767712,21127690.85
1005985933,13700966.3
1006013726,25363776.2
1006026494,5346929.838
1006540019,11087821.94
1007067208,17050727.5
1007233480,21501684.31
100741545,36335370.41
100781580,8432253.663
1008031106,29816024.16
1008453141,7488838.279
1008467020,24209868.69
1008990702,24255666.71
100924436,7753870.036
1009570124,25016043.13
1010782837,24829404.77
101092507,13634226.32
1010943716,29417951.28
1011004896,23758087.57
101110196,17695146.63
1011275894,22913449.76
1013422575,13697880.37
1013765862,3534792.935
1014679633,23760112.24
1016115878,39981805.33
1016184206,15370683.91
1017230048,16934634.23
1017425206,37771749.37
101767110,29328983.01
1017793579,10345933.17
1018339787,5241885.165
1018415836,18710879.46
1018835959,17786292.56
1019822001,24962184.39
1020904533,43719873.12
1021766991,31242010.74
1022303057,30427985.65
1022564826,10376821.5
1022792201,43076192.03
1022920538,1618679.957
102293055,35472873.55
1023129837,39266528.95
1023178939,8057592.42
1024202315,43889220.35
1025034217,34619738.78
1025592404,19526286.29
1026104909,1820240.803
1026215164,10661237.37
1026330044,31052834.06
1026893635,29572429.89
1027015334,18983098.44
1027196270,20647490.04
1027492850,22080802.12
1028291376,31808605.68
1028734549,11631253.58
1028909050,34815068.1
1028936480,7456127.31
1030142029,25056933.26
1030502977,11075676.5
1031020617,15366793.33
1031159375,22598282.59
1031162177,32387647.28
103255324,31656020.38
1033010545,15550567.99
1033712814,34907504.63
1034145574,20860362.53
1034149150,38212218.61
1034495604,33949726.56
1034575439,14087615.6
1034661081,9208568.269
1036359163,18418589.72
1036419067,20533343.65
1037409111,36564352.1
1037457727,40026364.5
1037866071,14367060.31
1037870582,31928288.72
1038229705,298051.9927
1038561162,22291098.85
1038795212,45369792.46
1039022988,21777513.69
1039467390,22465391.12
1040926190,35786714.24
1041238096,15314567.23
1042404145,38678250.99
1042683102,24440377.79
1042872766,13063932.35
1042966293,35066351.23
1044132676,38173173.01
1044145499,35160548.91
1044572708,24358488.23
1044918875,33567328.69
1044919243,13997385.97
1045961446,8035994.719
1046125885,25213300.66
1046298092,17599361.6
1047440176,28938255.25
1047553323,9512398.394
1048071171,42686242.62
1049029417,23732274.65
1049179883,23430390.02
1049458669,32410709.23
1049490456,34808657.38
1049718151,4206236.309
10500324,26995491.19
1051297459,21674272.73
1051723909,28396990.6
1052096870,19160602.62
105231979,17610587.34
1052598935,22950130.47
1053288769,20669238.99
1053506000,8381522.232
1053709012,17634857.63
1054155456,3519548.42
1054183033,4991544.538
1055110288,29309797.09
1055280734,13351778.38
1055292020,30138424.66
105565188,9402726.229
1055715186,19977687.36
1056283823,39800428.56
1057143322,26368173.35
1057565195,32126820.4
1057891675,41049270.81
1058184184,27632383.6
1058754098,18338166.26
1058988926,42283342
1060658700,5410668.475
1060731119,37091550.65
1060942736,18061264.35
1060953646,35156645.92
1061777512,31118711.76
1063352576,22385493.32
1063492083,18293807.18
1064227773,34949527.84
1065071029,27829994.52
1065179054,26848703.18
106530242,15628429.44
106558646,4318113.007
106685184,16529729.22
1066858964,43819934.03
106705133,3635546.421
1067398856,6948604.046
1067885278,22345228.32
1067970,24129858.69
1068098496,34113932.24
1068298311,14046823.86
1068515581,36129078.64
1069211376,46443463.23
1071550768,32031755.19
1071673479,781170.1891
1071727846,20368390.24
1072278088,26801989.68
1072995306,10478613.44
1074297431,17018649.71
1074331622,16319579.75
107456883,14974126.74
1074855139,13845045.91
1075283470,21055011.98
1075411242,24803258.7
1075732342,35556571.06
1076096350,9912834.889
107666202,36555696.49
1077472023,35260715.18
1079683965,4205157.729
1079951835,16573998.51
1080323153,23992781.4
1080844241,40758402.44
108203668,31318587.3
108213146,22329555.93
1082262945,26378891.5
1082864378,26233179.41
1083707533,24623514.21
108403661,1791189.287
1084397983,23694939.05
1084431292,35949827.95
1084581069,15863206.83
1085038607,1540233.327
1085084497,42154183.16
1085229280,19040969.48
1085510648,47680567.89
1085881951,14583026.5
1085882007,34106277.82
1085910515,31584918.51
108610409,33304666.04
1086569026,20636402.68
1086820883,20512910.11
1086962283,29802587.74
1087163936,16151136.31
108734762,33649220.42
1087612350,17427536.82
1087681649,23838801.2
1088360907,19795980.34
108885370,28690059.42
1088867007,14320604.58
1089106361,20717713.17
1089622428,27199345.72
1089767427,30976469.04
108980580,28020495.01
1091470526,18458170.76
1091631666,31017456.79
1091745945,3069254.144
1092124990,14159749.98
1092555354,33110946.5
109341864,28554138.37
1094588886,42887275.59
1094824382,27916513.92
1095039261,22695846.59
1095263306,20896702.27
1096077505,24260079.93
1096565436,17286847.62
10968059,42350159.68
1097472544,39971200.85
109822679,8684948.52
1099056611,17310279.28
1099388776,2572927.579
1099472249,20669538.43
1099564840,4914166.047
